sample_id,filename,source_path,checksum_sha256,movement_label_id,movement_label,participant_id,arm_code,arm,recording_id,split_group,sensor_location,device_model,device_orientation,sampling_rate_hz,original_length,processed_length,channel_names,quality_flag,sample_index,length_strategy,tensor_axis_order
ksas_m0_p14_d,0-14-d.csv,data/raw/KSAS-Dataset/movements/0-14-d.csv,063d699a6117d7510d87b8cd22916514db3dd2d83e204f6891ffc7006a64c496,0,no movement,P14,d,right,0-14-d,P14,smartphone,XiaoMi Mi A2,,,34,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,10,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p14_i,0-14-i.csv,data/raw/KSAS-Dataset/movements/0-14-i.csv,b1329465815b2755aa218bf7cba36b9051761c0da4c6886445b739e84b10b32d,0,no movement,P14,i,left,0-14-i,P14,smartphone,XiaoMi Mi A2,,,31,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,11,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p15_d,0-15-d.csv,data/raw/KSAS-Dataset/movements/0-15-d.csv,5b76f33d170a2010a094529af6e934346b9482549aa7f6831375a049bb39fe6c,0,no movement,P15,d,right,0-15-d,P15,smartphone,XiaoMi Mi A2,,,41,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,12,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p15_i,0-15-i.csv,data/raw/KSAS-Dataset/movements/0-15-i.csv,6ce5bbc5bc9934ba7c66b865063bbcf196754dd374eff9f6d3d802e089821752,0,no movement,P15,i,left,0-15-i,P15,smartphone,XiaoMi Mi A2,,,40,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,13,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p16_d,0-16-d.csv,data/raw/KSAS-Dataset/movements/0-16-d.csv,6f3100ae8f9a8a835c76697f7b79e192ca09d1ec46875f9373b04b4c4d3f9c39,0,no movement,P16,d,right,0-16-d,P16,smartphone,XiaoMi Mi A2,,,30,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,14,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p16_i,0-16-i.csv,data/raw/KSAS-Dataset/movements/0-16-i.csv,9c02239f89a295268b80f5dd63851ef9d9ff35aa009c7495bcb12c8e2972af98,0,no movement,P16,i,left,0-16-i,P16,smartphone,XiaoMi Mi A2,,,28,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,15,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p17_d,0-17-d.csv,data/raw/KSAS-Dataset/movements/0-17-d.csv,7f415b3854dee7451f8ac5ed180b8268b069e3305c8fe604b82415fa2a2da8f7,0,no movement,P17,d,right,0-17-d,P17,smartphone,XiaoMi Mi A2,,,34,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,16,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p17_i,0-17-i.csv,data/raw/KSAS-Dataset/movements/0-17-i.csv,1b591d827e405445cd5f99182c82894f47621f12574a2a9e41309bdf6d52a744,0,no movement,P17,i,left,0-17-i,P17,smartphone,XiaoMi Mi A2,,,23,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,17,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p18_d,0-18-d.csv,data/raw/KSAS-Dataset/movements/0-18-d.csv,852c5f00eb86a924c7dc4d5b5ce278fc6d542535b01aed1de6028129ed6725fa,0,no movement,P18,d,right,0-18-d,P18,smartphone,XiaoMi Mi A2,,,23,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,18,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p18_i,0-18-i.csv,data/raw/KSAS-Dataset/movements/0-18-i.csv,0a5f0efec016a3dd7cfebbe8f0971b6173afe7b461277561fb20067528aa172a,0,no movement,P18,i,left,0-18-i,P18,smartphone,XiaoMi Mi A2,,,38,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,19,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p19_d,0-19-d.csv,data/raw/KSAS-Dataset/movements/0-19-d.csv,55bc26edd371f375b73d58e2d65cc27b6b0e2d8df3904ca089c0c5162888cf67,0,no movement,P19,d,right,0-19-d,P19,smartphone,XiaoMi Mi A2,,,35,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,20,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p19_i,0-19-i.csv,data/raw/KSAS-Dataset/movements/0-19-i.csv,29912fcb27dd21269b772cf2c71d012bbc94a5fa62b62bd194f3529c02fdf0cd,0,no movement,P19,i,left,0-19-i,P19,smartphone,XiaoMi Mi A2,,,39,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,21,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p02_d,0-2-d.csv,data/raw/KSAS-Dataset/movements/0-2-d.csv,8d05058e785746286ab16e1c0bee0a848023c8b924860f7ffd507a37b1cc9a67,0,no movement,P02,d,right,0-2-d,P02,smartphone,XiaoMi Mi A2,,,32,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,22,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p02_i,0-2-i.csv,data/raw/KSAS-Dataset/movements/0-2-i.csv,cd0f4cf58663c34af3d66b758c6ffa053eb3926b25a455c3b99ae7bf01b09b86,0,no movement,P02,i,left,0-2-i,P02,smartphone,XiaoMi Mi A2,,,29,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,23,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p20_d,0-20-d.csv,data/raw/KSAS-Dataset/movements/0-20-d.csv,de5025bd7dab47868f093dfea8b47890fe8b1e0a46ce542cebf796b49a387c1a,0,no movement,P20,d,right,0-20-d,P20,smartphone,XiaoMi Mi A2,,,36,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,24,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p20_i,0-20-i.csv,data/raw/KSAS-Dataset/movements/0-20-i.csv,69a78bf48ecc441625494567745511973b2f441a832082a956ae4c1014c20e65,0,no movement,P20,i,left,0-20-i,P20,smartphone,XiaoMi Mi A2,,,22,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,25,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p03_d,0-3-d.csv,data/raw/KSAS-Dataset/movements/0-3-d.csv,58cb4fc7beb206098be72b308776707d1f33fc6785e55d48b33dec4ca446f171,0,no movement,P03,d,right,0-3-d,P03,smartphone,XiaoMi Mi A2,,,31,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,26,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p03_i,0-3-i.csv,data/raw/KSAS-Dataset/movements/0-3-i.csv,f9708817aceb5553bfdd2fed9843b4d5d6e8f97bda594b723929b123fa784f64,0,no movement,P03,i,left,0-3-i,P03,smartphone,XiaoMi Mi A2,,,19,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,27,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p04_d,0-4-d.csv,data/raw/KSAS-Dataset/movements/0-4-d.csv,7ca9b750afbbde74adb784923b9c6a1b16605ccb19884d0e0ad3eab0d9a6d469,0,no movement,P04,d,right,0-4-d,P04,smartphone,XiaoMi Mi A2,,,49,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,28,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p04_i,0-4-i.csv,data/raw/KSAS-Dataset/movements/0-4-i.csv,eca02a7473186603f47cf4eb20a72f3b6725e8e353d83d7c198abd3cb0f252a3,0,no movement,P04,i,left,0-4-i,P04,smartphone,XiaoMi Mi A2,,,44,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,29,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p05_d,0-5-d.csv,data/raw/KSAS-Dataset/movements/0-5-d.csv,bce4c9ac2e1291313f7c1434dd8aa1b011db54dd564c87cf3aa8c5e7e07fe5d7,0,no movement,P05,d,right,0-5-d,P05,smartphone,XiaoMi Mi A2,,,25,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,30,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p05_i,0-5-i.csv,data/raw/KSAS-Dataset/movements/0-5-i.csv,1c43128f43feeb7e9e71b6228e8413c57aa1c01af4122b7451da3e136ca91517,0,no movement,P05,i,left,0-5-i,P05,smartphone,XiaoMi Mi A2,,,34,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,31,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p06_d,0-6-d.csv,data/raw/KSAS-Dataset/movements/0-6-d.csv,f4e8cfad8d9eade638f972477e4f504cf6dd7855fa521039c30a38e0b50cbc6b,0,no movement,P06,d,right,0-6-d,P06,smartphone,XiaoMi Mi A2,,,40,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,32,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p06_i,0-6-i.csv,data/raw/KSAS-Dataset/movements/0-6-i.csv,dbee704a1832a65cffc8db98fc73ccf57b67276d7428a68c2123b80306e1696b,0,no movement,P06,i,left,0-6-i,P06,smartphone,XiaoMi Mi A2,,,38,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,33,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p07_d,0-7-d.csv,data/raw/KSAS-Dataset/movements/0-7-d.csv,adc7df9530530ac5e76c8e32ed3280ee063abf1c850f285e01408f45a6eccc75,0,no movement,P07,d,right,0-7-d,P07,smartphone,XiaoMi Mi A2,,,38,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,34,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p07_i,0-7-i.csv,data/raw/KSAS-Dataset/movements/0-7-i.csv,ed87e78c3330bd675acfb174c7db2e029f6f599a18a776a76d98097fe08a5cc1,0,no movement,P07,i,left,0-7-i,P07,smartphone,XiaoMi Mi A2,,,35,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,35,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p08_d,0-8-d.csv,data/raw/KSAS-Dataset/movements/0-8-d.csv,e5786d1d264d737d09439ea555532772071b24451ad78cb8f7fc14f345654f61,0,no movement,P08,d,right,0-8-d,P08,smartphone,XiaoMi Mi A2,,,44,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,36,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p08_i,0-8-i.csv,data/raw/KSAS-Dataset/movements/0-8-i.csv,7d5de2cb1d1392402f6be183c6f581835b05f484550a6ecb3ccecb4a5023cb57,0,no movement,P08,i,left,0-8-i,P08,smartphone,XiaoMi Mi A2,,,27,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,37,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p09_d,0-9-d.csv,data/raw/KSAS-Dataset/movements/0-9-d.csv,f6b81558fdd295028351a897e242515b23564931b52f5ecb263419e878941ad0,0,no movement,P09,d,right,0-9-d,P09,smartphone,XiaoMi Mi A2,,,23,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,38,right_pad_with_zeros,"sample,channel,time"
