pattern_rank,feature_index,fold,sample_index,sample_id,participant_id,arm_code,y_true,y_pred,correct,feature_value
7,7909,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.1071428582072258
8,8453,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.0
9,8485,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.0357142873108387
10,6196,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.1785714328289032
11,7944,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.6071428656578064
12,8533,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.1071428582072258
1,8164,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.0
2,8429,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.0892857164144516
3,7931,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.1071428582072258
4,6206,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.1785714328289032
5,8463,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.0
6,8405,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.0
7,7909,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.0357142873108387
8,8453,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.0
9,8485,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.0535714291036129
10,6196,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.1428571492433548
11,7944,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.6071428656578064
12,8533,0,10,ksas_m0_p14_d,P14,d,0,0,True,0.125
1,8164,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.0
2,8429,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.0
3,7931,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.1964285671710968
4,6206,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.2678571343421936
5,8463,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.0
6,8405,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.0
7,7909,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.1071428582072258
8,8453,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.0
9,8485,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.0
10,6196,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.1785714328289032
11,7944,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.6428571343421936
12,8533,0,11,ksas_m0_p14_i,P14,i,0,0,True,0.0
1,8164,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.0357142873108387
2,8429,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.0892857164144516
3,7931,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.1071428582072258
4,6206,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.3035714328289032
5,8463,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.0
6,8405,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.0
7,7909,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.1071428582072258
8,8453,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.0
9,8485,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.0
10,6196,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.1428571492433548
11,7944,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.7142857313156128
12,8533,0,32,ksas_m0_p06_d,P06,d,0,0,True,0.0
1,8164,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.0535714291036129
2,8429,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.5
3,7931,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.0
4,6206,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.1785714328289032
5,8463,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.0714285746216774
6,8405,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.0535714291036129
7,7909,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.0
8,8453,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.0714285746216774
9,8485,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.1785714328289032
10,6196,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.0892857164144516
11,7944,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.5714285969734192
12,8533,0,33,ksas_m0_p06_i,P06,i,0,0,True,0.25
1,8164,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.4642857015132904
2,8429,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.5535714030265808
3,7931,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.5357142686843872
4,6206,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.3928571343421936
5,8463,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.5178571343421936
6,8405,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.3928571343421936
7,7909,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.5714285969734192
8,8453,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.5535714030265808
9,8485,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.4821428656578064
10,6196,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.4285714328289032
11,7944,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.375
12,8533,0,40,ksas_m1_p01_d,P01,d,1,1,True,0.5535714030265808
1,8164,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.5
2,8429,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.6607142686843872
3,7931,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.4821428656578064
4,6206,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.3214285671710968
5,8463,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.5
6,8405,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.3928571343421936
7,7909,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.4642857015132904
8,8453,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.5357142686843872
9,8485,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.5714285969734192
10,6196,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.4285714328289032
11,7944,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.3571428656578064
12,8533,0,41,ksas_m1_p01_i,P01,i,1,1,True,0.4642857015132904
1,8164,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.4821428656578064
2,8429,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.5535714030265808
3,7931,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.5535714030265808
4,6206,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.3035714328289032
5,8463,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.4642857015132904
6,8405,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.3928571343421936
7,7909,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.5535714030265808
8,8453,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.5178571343421936
9,8485,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.6428571343421936
10,6196,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.2678571343421936
11,7944,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.3571428656578064
12,8533,0,48,ksas_m1_p13_d,P13,d,1,1,True,0.5535714030265808
1,8164,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.5178571343421936
2,8429,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.5357142686843872
3,7931,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.5357142686843872
4,6206,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.4107142984867096
5,8463,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.5357142686843872
6,8405,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.4464285671710968
7,7909,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.6071428656578064
8,8453,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.5
9,8485,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.625
10,6196,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.375
11,7944,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.2857142984867096
12,8533,0,49,ksas_m1_p13_i,P13,i,1,1,True,0.625
1,8164,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.4285714328289032
2,8429,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.6607142686843872
3,7931,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.5
4,6206,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.4642857015132904
5,8463,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.5178571343421936
6,8405,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.5
7,7909,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.3214285671710968
8,8453,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.6071428656578064
9,8485,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.5535714030265808
10,6196,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.4464285671710968
11,7944,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.4107142984867096
12,8533,0,50,ksas_m1_p14_d,P14,d,1,1,True,0.4821428656578064
1,8164,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.5
2,8429,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.5892857313156128
3,7931,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.4821428656578064
4,6206,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.4821428656578064
5,8463,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.5535714030265808
6,8405,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.5
7,7909,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.3392857015132904
8,8453,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.625
9,8485,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.5892857313156128
10,6196,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.4821428656578064
11,7944,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.375
12,8533,0,51,ksas_m1_p14_i,P14,i,1,1,True,0.4285714328289032
1,8164,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.4285714328289032
2,8429,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.6964285969734192
3,7931,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.5
4,6206,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.4464285671710968
5,8463,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.5892857313156128
6,8405,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.5535714030265808
7,7909,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.5178571343421936
8,8453,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.6071428656578064
9,8485,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.5714285969734192
10,6196,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.4642857015132904
11,7944,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.375
12,8533,0,72,ksas_m1_p06_d,P06,d,1,1,True,0.5
1,8164,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.3928571343421936
2,8429,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.5892857313156128
3,7931,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.4107142984867096
4,6206,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.3035714328289032
5,8463,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.5714285969734192
6,8405,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.5
7,7909,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.4642857015132904
8,8453,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.6071428656578064
9,8485,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.5714285969734192
10,6196,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.3214285671710968
11,7944,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.3035714328289032
12,8533,0,73,ksas_m1_p06_i,P06,i,1,1,True,0.5
1,8164,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.5357142686843872
2,8429,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.3571428656578064
3,7931,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.625
4,6206,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.1964285671710968
5,8463,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.4464285671710968
6,8405,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.4464285671710968
7,7909,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.7142857313156128
8,8453,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.3571428656578064
9,8485,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.3928571343421936
10,6196,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.3392857015132904
11,7944,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.1071428582072258
12,8533,0,80,ksas_m2_p01_d,P01,d,2,2,True,0.5
1,8164,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.3928571343421936
2,8429,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.3392857015132904
3,7931,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.6428571343421936
4,6206,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.3392857015132904
5,8463,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.1785714328289032
6,8405,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.3035714328289032
7,7909,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.75
8,8453,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.2678571343421936
9,8485,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.3928571343421936
10,6196,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.3928571343421936
11,7944,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.2142857164144516
12,8533,0,81,ksas_m2_p01_i,P01,i,2,2,True,0.4821428656578064
1,8164,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.3928571343421936
2,8429,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.3392857015132904
3,7931,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.5357142686843872
4,6206,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.3392857015132904
5,8463,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.3214285671710968
6,8405,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.3571428656578064
7,7909,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.6071428656578064
8,8453,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.2678571343421936
9,8485,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.5178571343421936
10,6196,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.4107142984867096
11,7944,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.2142857164144516
12,8533,0,88,ksas_m2_p13_d,P13,d,2,2,True,0.4821428656578064
1,8164,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.3571428656578064
2,8429,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.3035714328289032
3,7931,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.5892857313156128
4,6206,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.2857142984867096
5,8463,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.2142857164144516
6,8405,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.3214285671710968
7,7909,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.5714285969734192
8,8453,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.2142857164144516
9,8485,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.3928571343421936
10,6196,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.3035714328289032
11,7944,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.2321428507566452
12,8533,0,89,ksas_m2_p13_i,P13,i,2,2,True,0.3214285671710968
1,8164,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.4821428656578064
2,8429,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.375
3,7931,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.5714285969734192
4,6206,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.4821428656578064
5,8463,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.25
6,8405,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.3571428656578064
7,7909,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.5535714030265808
8,8453,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.2857142984867096
9,8485,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.5714285969734192
10,6196,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.4642857015132904
11,7944,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.3392857015132904
12,8533,0,90,ksas_m2_p14_d,P14,d,2,2,True,0.6428571343421936
1,8164,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.4821428656578064
2,8429,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.4285714328289032
3,7931,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.5892857313156128
4,6206,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.4642857015132904
5,8463,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.125
6,8405,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.3035714328289032
7,7909,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.5178571343421936
8,8453,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.2321428507566452
9,8485,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.5357142686843872
10,6196,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.4821428656578064
11,7944,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.2678571343421936
12,8533,0,91,ksas_m2_p14_i,P14,i,2,2,True,0.6071428656578064
1,8164,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.4107142984867096
2,8429,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.3214285671710968
3,7931,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.5892857313156128
4,6206,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.3392857015132904
5,8463,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.375
6,8405,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.4642857015132904
7,7909,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.6964285969734192
8,8453,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.3392857015132904
9,8485,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.4285714328289032
10,6196,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.4642857015132904
11,7944,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.25
12,8533,0,112,ksas_m2_p06_d,P06,d,2,2,True,0.4464285671710968
1,8164,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.4107142984867096
2,8429,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.4464285671710968
3,7931,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.5535714030265808
4,6206,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.3214285671710968
5,8463,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.125
6,8405,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.25
7,7909,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.6607142686843872
8,8453,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.2678571343421936
9,8485,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.5178571343421936
10,6196,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.3214285671710968
11,7944,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.1607142835855484
12,8533,0,113,ksas_m2_p06_i,P06,i,2,2,True,0.375
1,8164,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.3928571343421936
2,8429,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.4107142984867096
3,7931,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.5357142686843872
4,6206,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.3035714328289032
5,8463,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.5892857313156128
6,8405,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.4464285671710968
7,7909,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.4642857015132904
8,8453,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.6428571343421936
9,8485,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.4285714328289032
10,6196,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.4285714328289032
11,7944,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.3214285671710968
12,8533,0,120,ksas_m3_p01_d,P01,d,3,3,True,0.3392857015132904
1,8164,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.4285714328289032
2,8429,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.375
3,7931,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.5714285969734192
4,6206,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.4642857015132904
5,8463,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.5892857313156128
6,8405,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.4821428656578064
7,7909,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.5357142686843872
8,8453,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.5535714030265808
9,8485,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.3928571343421936
10,6196,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.4821428656578064
11,7944,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.3392857015132904
12,8533,0,121,ksas_m3_p01_i,P01,i,3,3,True,0.3214285671710968
1,8164,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.375
2,8429,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.25
3,7931,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.5892857313156128
4,6206,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.2857142984867096
5,8463,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.5
6,8405,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.4464285671710968
7,7909,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.6428571343421936
8,8453,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.3928571343421936
9,8485,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.4107142984867096
10,6196,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.375
11,7944,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.1607142835855484
12,8533,0,128,ksas_m3_p13_d,P13,d,3,3,True,0.3392857015132904
1,8164,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.4464285671710968
2,8429,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.3571428656578064
3,7931,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.5357142686843872
4,6206,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.2678571343421936
5,8463,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.4107142984867096
6,8405,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.4285714328289032
7,7909,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.6428571343421936
8,8453,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.4107142984867096
9,8485,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.3392857015132904
10,6196,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.3571428656578064
11,7944,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.1071428582072258
12,8533,0,129,ksas_m3_p13_i,P13,i,3,3,True,0.3214285671710968
1,8164,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.4821428656578064
2,8429,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.3571428656578064
3,7931,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.5357142686843872
4,6206,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.3571428656578064
5,8463,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.5178571343421936
6,8405,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.5535714030265808
7,7909,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.4821428656578064
8,8453,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.4464285671710968
9,8485,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.4642857015132904
10,6196,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.4285714328289032
11,7944,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.3035714328289032
12,8533,0,130,ksas_m3_p14_d,P14,d,3,3,True,0.4821428656578064
1,8164,0,131,ksas_m3_p14_i,P14,i,3,3,True,0.375
